Base License Number,Base Name,DBA,Year,Month,Month Name,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles
B02841,"SKYWAY EXECUTIVE SERVICE, INC",,2018,9,September,144,0,3
B01128,PAK-EAGLE INC.,JEWEL CAR SERVICE,2018,9,September,"1,558",0,5
B02930,V.I.T. BLACK CAR TRANSPORTATION CORP.,,2018,10,October,"4,516",0,22
B00821,ATLANTIC CAR SVCE,,2018,9,September,"18,076",3,82
B01466,FIVE STAR,,2018,4,April,"1,377",0,14
B00373,PARTICULAR PEOPLE CAR SERVICE INC.,,2018,1,January,"1,824",0,12
B02162,A B C SHUTTLE SERVICES CORPORATION,ABC CAR SERVICES,2017,8,August,723,0,11
B02265,"COUNTY CAR SERVICE, INC.",,2015,10,October,720,0,7
B00948,510 CAR SERVICE CORP,,2017,3,March,"21,822",0,101
B02376,ALL NATIONS LUXURY LIMO CORP.,,2016,5,May,317,0,7
B02410,"POLO LIMOUSINE, CORP.",,2015,12,December,"1,894",0,51
B01367,"ROYAL DISPATCH SERVICES, INC.",EXECUTIVE CARS,2015,9,September,"3,843",0,86
B01492,MOBILE #1 CAR SERVICE INC.,,2017,10,October,77,0,7
B01231,GO CAR CORP.,,2015,9,September,"8,163",0,51
B01726,SUPER CLASS RADIO DISP INC,,2016,3,March,"30,946",0,171
B00225,DELANCEY TRANSPORTATION INC.,,2016,8,August,"15,008",0,85
B02990,GO MY SEDAN LLC,,2017,11,November,"1,125",0,21
B03069,"HINOMARUNY INTERNATIONAL,INC",,2018,11,November,785,0,35
B00401,TREMONT DISPATCHING CORP,,2016,4,April,282,0,1
B01300,KENNEDY RAD DISP INC,,2016,1,January,"12,633",0,139
B03016,BEST DEAL BLACK INC.,,2018,11,November,"7,114",355,39
B02992,UNLS CORP,RELIABLE CAR & LIMO SERVICE,2017,6,June,103,0,3
B01061,DAT RADIO DISP INC,,2018,4,April,"40,763",0,163
B01200,NEW YORK APPLE CAR SERVICE INC,N Y LIMO & CAR SVCE,2016,1,January,"6,192",0,33
B00647,KISS CAR SERVICE INC,,2017,9,September,"56,699",0,284
B00556,SURREY CADILLAC LIMO SVC INC,,2018,11,November,608,0,20
B02093,V.J. CAR & LIMO SVC INC.,,2016,11,November,"3,174",0,6
B00446,COMMUNICAR INCORPORATED,,2017,10,October,"4,772",0,101
B02536,SEAGULL RIDE CORP,,2018,4,April,"2,583",0,12
B02745,HOYT LIVERY INC,,2015,4,April,454,0,19
B02026,A RIDE FOR ALL LLC,,2017,9,September,50,0,1
B02424,FRIENDLY RIDE INC,,2017,4,April,631,0,36
B02753,DADDY LIMO INC,,2017,11,November,359,0,6
B01642,VICTORY CAR & LIMO SERVICE INC.,,2016,6,June,"1,430",0,4
B03085,W DIAMOND LIMO INC,,2018,10,October,285,0,31
B03113,MIKE'S VIP TRANSPORTATION INC.,,2019,1,January,429,0,7
B01742,"AVALON TRANSPORTATION, LLC",,2016,6,June,606,0,25
B02956,W.K.EXPRESS LIMO SERVICE INC,,2017,5,May,4,0,4
B00911,"RIVERSIDE PLUS RADIO DISPATCH, INC.",NEW WEBSTER CAR & LIMO SERVICE,2018,11,November,"8,782",0,72
B02463,MORENITA EXPRESS CAR SERVICE INC.,,2018,11,November,"1,139",0,5
B01804,GOLDCREST TRANSPORT LTD,,2016,7,July,280,0,12
B02674,ELAL CAR LIMO SERVICE LLC,FIFTH AVENUE CAR LIMO SERVICE,2018,11,November,"3,255",0,12
B02770,"CAVALIER CAR & LIMOUSINE, INC.",,2018,12,December,413,0,10
B01721,W.K. CAR & LIMO SERVICE INC,,2016,7,July,"6,238",0,36
B02651,SAROS TRANSPORTATION GROUP INC.,,2018,5,May,238,0,17
B02060,AMERICAN LIMOUSINE LLC,FLYTE TYME WORLDWIDE/ADDISON LEE,2015,6,June,548,0,56
B02491,CALL THREES LLC,,2016,10,October,874,0,5
b00727,RECHEV OF BROOKLYN INC,,2015,10,October,"1,197",0,6
B01727,"CHAUFFEUR SERVICES, INC.",NICE GUYS LIMO,2018,3,March,39,0,2
B00991,BLUE LANE CAR SERVICE INC,,2018,2,February,61,0,11
B03007,THE NEW SPANISH CAR & LIMO INC,,2017,11,November,422,0,11
B02681,DIRECT CAR & LIMO SERVICE INC.,,2015,11,November,128,0,4
B02739,PRATT LUXURY SERVICE INC.,,2017,6,June,"1,150",0,12
B01534,METRO CAR SERVICE CORP.,METROLINE CAR SERVICE,2016,9,September,"5,542",0,27
B00056,TRANSIT PRIVATE CAR SERVICE INC.,,2018,5,May,"1,726",0,30
B01273,PUERTO RICO CAR SERVICE INC.,,2016,11,November,"12,424",0,62
B02933,FM LIMO LLC,,2018,2,February,285,0,12
B01877,U.S.A. LIMO. INC.,BLUE LINE,2017,2,February,"6,681",0,169
B01455,REPUBLICA CAR & LIMO SERVICE CORP.,,2016,7,July,"5,590",0,50
B01176,SANTO DOMINGO CAR LIMO SERVICES INC,,2017,11,November,"6,494",0,39
B00290,ZPI CORPORATION,NATIONAL HIGH CLASS,2018,7,July,918,0,8
B01236,BLS LIMO SVC OF NY INC,,2016,7,July,210,0,42
B00037,TRANSP UNLIMITED C/S,,2017,4,April,"10,881",0,38
B02120,HARRISON GLOBAL LLC,BOSTON COACH,2017,9,September,"7,002",0,126
B02505,TRELAWNY CAR SERVICE INC,,2017,7,July,"2,737",0,16
B01332,SKYWAY CAR SERVICE EXPRESS INC.,,2017,1,January,"1,245",0,17
B02715,GROUNDANYWHERE LLC,,2015,12,December,"12,301",0,267
B01958,ST.ALBANS-HOLLIS CAR SERVICE INC.,,2016,8,August,"1,262",0,14
B01362,AMERICAN BASE NO.1 INC.,,2016,8,August,"16,155",0,121
B01379,J.J.S. TRANSPORTATION CO. INC.,GRANT CITY CAR SVC,2016,2,February,"1,141",0,9
B00056,TRANSIT PRIVATE CAR SERVICE INC.,,2018,11,November,"1,635",0,25
B02756,ALLY CAR SERVICE LLC,ACTIVE EXPRESS CAR & LIMO 2,2017,7,July,731,0,9
B02213,"EXPRESS 11 CAR SERVICE, INC.",,2017,1,January,"3,220",0,20
B01818,"TA-TA TRANSPORTATION, INC.",,2015,6,June,126,0,19
B01639,HIGH CLASS LIMO CAR SVCE CORP,,2018,9,September,"8,310",0,108
B02611,SS LIMOUSINE SERVICE INC,,2017,9,September,125,0,4
B02196,"N & T DOUBLE DIAMOND LIMOUSINES, INC.",,2018,12,December,27,0,4
B02401,NEW NORTH SIDE LUXURY CORP.,MAGNA,2018,11,November,"3,673",0,48
B02557,185 MALTA CAR SERVICE LLC,,2017,8,August,"1,256",0,20
B02724,PRIME TIME LIMOUSINE INC.,PRIME TIME GLOBAL,2017,7,July,201,0,19
B02398,NY PREMIER LIMOUSINE INC,,2016,4,April,390,0,9
B02016,PLANET LIMOUSINE LLC,,2018,12,December,"1,709",0,42
B02207,"EASTERN LUXURY, INC.",,2016,9,September,366,0,83
B02373,QUIET SERVICES INC,GOLDEN CLASS LIMO,2018,7,July,63,0,3
B01938,"ALL STAR LIMOUSINE SERVICE, LTD.",,2015,5,May,"4,367",0,86
B02301,DOUBLE A CAR SERVICE INC.,UNITED CARS,2018,8,August,"1,723",0,64
B00411,FONE-A-CAR INC,,2017,3,March,"1,500",0,57
B02111,HUANG HOU CAR SERVICES INC.,HUANG HOU CAR SERVICES INC.,2016,2,February,"29,283",0,122
B00653,ROYAL CAR & LIMO SERVICE INC.,,2018,10,October,866,0,7
B01145,ULTRA RADIO DISP INC,,2016,9,September,"23,728",0,136
B01475,"MIDWOOD VS, INC",,2015,10,October,26,0,6
B01145,ULTRA RADIO DISP INC,,2017,1,January,"23,480",0,119
B00149,RAINBOW RAD DISP INC,,2018,12,December,882,0,6
B02298,NYG LIMOUSINE LLC,,2018,9,September,782,0,21
B00552,HINO-MARU ENTERPRISES INC.,,2016,6,June,"1,561",0,51
B01529,J.I.G. TRANSPORT CORP.,NEW EASTERN C/L SVCE,2016,2,February,"1,241",0,10
B01644,MUSIC EXPRESS/N.Y. INC,,2018,12,December,"1,605",0,50
B00837,CAREY LIMO N Y INC,,2018,7,July,"8,506",0,198
B01635,HAR-SINAY CAR & LIMO SVC INC,,2018,6,June,114,0,2
B00227,"PARK WEST EXEC. SERVICES, INC.",TOWN CARS,2015,10,October,"13,086",0,192
B02373,QUIET SERVICES INC,GOLDEN CLASS LIMO,2017,10,October,28,0,6
B02288,SAFARI TRANSPORTATION INC.,,2015,12,December,196,0,7
B02330,"OCHO LUXURY CAR, INC.",ACAPOLCO EXPRESS,2016,5,May,"3,469",0,15
B01644,MUSIC EXPRESS/N.Y. INC,,2015,10,October,"4,302",0,74
B00552,HINO-MARU ENTERPRISES INC.,,2016,1,January,859,0,51
B02811,M.L TRIPS CORP.,,2016,5,May,578,0,26
B03050,"TORINKO NY, LLC",,2018,8,August,126,0,15
B03060,EASTLAND BLACK CARS CORP,,2018,8,August,"7,831",0,36
B02182,"FINEST CAR SERVICE, LLC",,2017,4,April,"4,966",0,50
B02376,ALL NATIONS LUXURY LIMO CORP.,,2018,11,November,93,0,5
B02462,TIFFANY'S CAR SERVICE INC.,,2018,1,January,544,0,12
B01417,NESHER EXPRESS CAR SERVICE 2 INC.,,2017,12,December,"1,983",0,13
B01285,UNION RADIO DISPATCH INC,,2015,2,February,"41,489",0,205
B03018,AUREUS LLC,,2017,10,October,157,0,7
B02055,"MONTAGUE MANAGEMENT SERVICES, INC.",PROMINENT CAR & LIMO,2019,1,January,380,0,3
B00296,PRIME TIME TRANS. INC,,2015,10,October,"1,833",0,56
B00319,AVENTINE AUTO RENTAL INC,SAFEWAY CAR SVCE,2017,8,August,837,0,8
B02521,"PICTURE PROPERTIES, INC.",DEUCES TRANSPORT SERVICES,2017,12,December,"3,319",0,13
B01679,OLLIE'S TRANSPORTATION SERVICE,OLLIE'S AIRPORT SERVICE,2018,2,February,382,0,20
B02524,ESQ LIMOUSINE LLC,ESQ LIMO,2015,11,November,597,0,14
B02152,"KYOEI LIMOUSINE, INC.","KYOEI LIMOUSINE, INC.",2018,8,August,554,0,14
B00272,BIG APPLE CAR INC,,2015,9,September,"7,415",0,174
B01672,NEW DAYNIGHT CAR SVCE,,2018,1,January,"1,475",0,17
B01876,QUALITY EXECUTIVE LIMOUSINE L.L.C,,2016,6,June,30,0,4
B00310,WATSON CAR SERVICE INC.,,2017,9,September,"22,604",0,121
B02026,A RIDE FOR ALL LLC,,2018,8,August,31,0,1
B01364,NY ATLIXCO CAR SERVICE INC,,2016,8,August,"4,384",0,24
B00889,MEXICANA CAR SERVICE INC.,,2018,5,May,"8,336",0,42
B00111,SKYLINE CREDIT RIDE INC,,2019,1,January,"11,033",0,208
B02055,"MONTAGUE MANAGEMENT SERVICES, INC.",PROMINENT CAR & LIMO,2018,9,September,273,0,2
B03048,ATLANTIS TRANSPORTATION SERVICES INC,,2018,2,February,"2,387",0,17
B02613,NYC STAR LIMOUSINE & CAR SERVICES CORP.,NYS CAR SERVICE,2018,9,September,596,0,6
B02951,"APPROACH QUALITY TRANSPORTATION, LLC",,2018,4,April,872,93,26
B01803,"V.I.P. CONNECTION, INC.",CARLINK,2017,12,December,"3,699",0,98
B00477,INTA-BORO ACRES INC,,2017,7,July,"8,393",0,164
B01145,ULTRA RADIO DISP INC,,2018,2,February,"20,353",0,123
B01273,PUERTO RICO CAR SERVICE INC.,,2015,7,July,"1,784",0,8
B02316,"AJAY CAR SERVICE, LLC.",,2017,6,June,334,0,6
B00381,BELL RADIO INC,,2016,8,August,"4,160",0,116
B02643,LORY CAR SERVICE CORP.,,2017,10,October,894,0,15
B02391,"BAYRIDGE EXPRESS, INC",,2017,12,December,590,0,13
B00160,JAFFA CAR & LIMO SVC INC,,2017,6,June,"2,219",0,17
B01979,DREAMLAND CAR & LIMO.SVC INC.,,2018,8,August,"2,333",0,6
B01215,ECUADOOR CORP,,2018,6,June,"11,467",0,48
B01020,MICHAELS CAR SERVICE INC.,UNION LIMO AND CAR SERVICE INC,2018,3,March,771,0,13
B02996,FOREVER BLUE CAR SERVICE INC.,,2018,5,May,"1,501",0,20
B02408,"PETER EXECUTIVE LIMOUSINE, CORP",,2017,2,February,155,0,8
B02979,ADVANTAGE LIMO OF NY INC.,,2017,8,August,"1,067",0,4
B00619,"HOLA CAR SERVICE,INC.",,2019,1,January,264,0,7
B01343,ALL PEOPLE CAR SERVICE INC.,,2018,2,February,912,0,7
B02707,CORONA PLAZA CAR & LIMO SERVICES INC.,,2017,3,March,"1,473",0,23
B02797,CJ LIMOUSINE LLC,,2015,12,December,397,0,14
B02537,ALLTOWN LIMO CORP.,,2016,5,May,"12,654",0,125
B00448,DIAL CAR INC.,,2018,12,December,"6,052",0,152
B02369,UNICAR LUXURY INC.,,2018,3,March,3,0,2
B01353,DYKER CARS INC.,,2017,11,November,"2,118",0,7
b00833,OMEGA CAR SERVICE INC.,,2018,3,March,968,0,5
b02301,DOUBLE A CAR SERVICE INC.,UNITED CARS,2015,5,May,"11,128",0,29
B02992,UNLS CORP,RELIABLE CAR & LIMO SERVICE,2018,12,December,19,0,6
B01066,DOMINICANA RAD DISP INC,,2018,1,January,"9,612",0,57
B02133,"TWR CAR & LIMO, INC.",,2017,8,August,"8,123",0,94
B02243,BARONAS LUXURY II INC,,2019,1,January,"7,176",0,72
B02243,BARONAS LUXURY II INC,,2018,4,April,"9,008",0,90
B02252,ASIANA LIMOUSINE INC.,,2016,8,August,13,0,6
B01593,"NOVAK GLOBAL, INC.",SKYWAY CAR SERVICE,2017,11,November,"1,219",0,12
B01336,BAY EXPRESS CORP.,,2017,8,August,"4,373",0,25
B00448,DIAL CAR INC.,,2016,6,June,"12,167",0,189
B02922,"HY'S LIVERY SERVICE,INC.",,2016,7,July,61,0,23
B00256,FAST OPERATING CORP,CARMEL C/L SVCE,2017,5,May,"51,470",0,665
B01804,GOLDCREST TRANSPORT LTD,,2018,7,July,183,0,8
B02127,"CONTINENTAL RIDE, INC.",I + I TRANSPORTATION,2016,10,October,75,0,6
B01339,R C AUDUBON SVC INC,,2018,3,March,"13,445",0,87
B01016,810 CAR SVCE CORP,,2017,5,May,"16,421",0,63
B01079,THE METRO MARINE CAR SERVICE INC,MARINE LIMO & CAR SERVICE,2017,5,May,"3,321",0,9
B02157,REAGAN CONVEYANCE  CORP.,DELUX TRANSPORTATION SERVICES,2017,4,April,"5,800",0,149
B00552,HINO-MARU ENTERPRISES INC.,,2016,3,March,553,0,48
B01051,B Q N C/S CORP,,2018,12,December,"16,697",0,86
B01559,MUNKACS CAR SVC LTD,,2016,8,August,"4,869",0,17
B02352,"SUPER FAST LIMOUSINE SERVICE, INC.",,2017,1,January,"4,205",0,21
B02920,AMAZING CAR AND LIMO SERVICE INC,,2018,12,December,"1,147",0,7
B02947,"ONIX TRANSPORTATION, INC",,2018,8,August,"13,004",0,67
B00628,"CONCORD LIMOUSINE 1, LLC",,2015,4,April,"19,104",0,369
B02021,EASYRIDE CAR SERVICE INC.,,2016,12,December,"1,353",0,7
B01079,THE METRO MARINE CAR SERVICE INC,MARINE LIMO & CAR SERVICE,2018,1,January,"3,720",0,13
B02967,ABIEL TRANSPORTATION CORP,,2017,4,April,350,0,11
B00419,KOOP DISPATCHING INC.,,2018,10,October,294,0,7
B02705,GROUND JET EXECUTIVE TRANSPORTATION LLC,,2017,11,November,64,0,3
B02163,JUNIORS EXPRESS CAR SERVICE INC.,,2016,1,January,"2,461",0,19
B02101,EXEC TRANSPORT INC,EAST COAST WORLDWIDE LIMOUSINE,2018,1,January,"7,163",0,198
B00001,LONDON TOWNCARS INC,,2017,10,October,"1,643",0,29
B00401,TREMONT DISPATCHING CORP,,2017,1,January,"1,217",0,7
B03020,5J TRANSPORTATION INC.,,2018,7,July,"1,221",0,16
B01394,KINGSWAY CAR & LIMO SVC INC,,2016,8,August,"1,047",0,8
B02060,AMERICAN LIMOUSINE LLC,FLYTE TYME WORLDWIDE/ADDISON LEE,2017,3,March,662,0,59
B02398,NY PREMIER LIMOUSINE INC,,2016,1,January,262,0,7
B01336,BAY EXPRESS CORP.,,2016,1,January,"4,662",0,26
B02897,FC LIMOUSINE INC,,2017,9,September,514,0,18
B02673,CONCORDE LIMOUSINE INC,CC LIMOUSINE WORLDWIDE,2017,10,October,93,0,27
B01568,N.Y. MEXICANA CAR & LIMO SVC CRP.,N.Y. MEXICANA CAR SERVICE,2018,10,October,"2,213",0,16
B02162,A B C SHUTTLE SERVICES CORPORATION,ABC CAR SERVICES,2017,5,May,973,0,39
B01506,HOYT LIMO & SVC CORP,,2017,9,September,"9,839",0,66
B00160,JAFFA CAR & LIMO SVC INC,,2017,12,December,"1,892",0,17
B02509,NY MINUTE CAR SERVICE INC.,,2016,1,January,51,0,4
B00811,LLAMA LIMO C/S CORP,METROGREEN CAR SERVICE,2017,12,December,"1,587",0,33
B00256,FAST OPERATING CORP,CARMEL C/L SVCE,2018,4,April,"50,535",0,600
B02008,"SCARSDALE TRIP SERVICE, INC.",RED OAK TRANSPORTATION,2018,8,August,24,0,1
B02715,GROUNDANYWHERE LLC,,2016,10,October,"13,495",0,376
B01469,"BROTHERS CAR SERVICE, INC.",,2018,5,May,"6,325",0,44
B02073,"STARGATE LIMOUSINE, INC.",,2016,12,December,201,0,12
B02180,PEGASUS TRANSPORT SERVICE INC.,,2018,3,March,22,0,8
B01998,FIRST CORPORATE SEDANS INC.,,2016,10,October,"9,733",0,289
B02316,"AJAY CAR SERVICE, LLC.",,2016,8,August,"1,080",0,14
B00290,ZPI CORPORATION,NATIONAL HIGH CLASS,2018,6,June,890,0,8
B02067,"GROUP AMERICAR TRANSPORTATION,LLC.",,2016,4,April,"5,293",0,85
B01594,ATHENIAN LIMO INC,ACROPOLIS,2017,4,April,"1,761",0,12
B01913,MIRAGE LIMOUSINE SERVICE INC,,2018,7,July,737,0,21
B01424,EAGLE CAR & LIMO LTD.,,2018,7,July,182,0,4
B02614,MEXICO LA  NEW POBLANITA EXPRESS INC.,,2017,11,November,"3,499",0,11
B00492,BLU-WHITE ASSOCIATED TRANSPORTATION SERVICE INC,,2016,5,May,"6,437",0,30
B01470,AGUILA CAR & LIMO CORPORATION,VELOTAX CAR SERVICE,2017,8,August,"2,914",0,24
B00008,T-D MAINTENANCE CORP,FOUR ONES CAR SERVICE,2015,7,July,"8,479",0,70
B02240,NEW APPLE TRANS. INC.,PALPAL LIMO,2018,1,January,265,0,11
B00445,JOE M LEASING CORP,FOUR TWO'S PVT C/S,2017,2,February,"8,398",0,21
B02152,"KYOEI LIMOUSINE, INC.","KYOEI LIMOUSINE, INC.",2016,1,January,239,0,11
B02838,THA MAYA CAR SERVICE INC,,2015,12,December,436,0,8
B01651,U.P.S. RADIO DISPATCH CORP.,WIRELESS CAR SERVICE,2017,10,October,"1,426",0,46
B02058,MEX SERVICE INC,MEX EXPRESS CAR SERVICE,2018,4,April,"2,648",0,27
B02391,"BAYRIDGE EXPRESS, INC",,2018,9,September,944,0,19
B02148,MAVRIK TRANS INC.,,2016,6,June,632,0,39
B02968,NEW GENERATION BLACK CAR TRANSPORTATION CORP.,,2018,11,November,"2,575",0,14
B01811,IVOIRE LIMO INC.,,2018,10,October,"1,041",0,34
B00021,MEXICANA HIGH CLASS INC.,CAPITAL CAR SERVICE,2018,1,January,"3,753",0,47
B02825,GUADALUPANA II CAR & LIMO INC,,2016,11,November,"1,821",0,8
B02334,"GROUND TRAVEL SERVICES II, LTD.",GTS,2018,8,August,347,0,15
B01061,DAT RADIO DISP INC,,2015,12,December,"66,800",0,262
B01065,EL BARRIO'S CAR SERVICE LLC,,2016,7,July,"14,933",0,96
B01876,QUALITY EXECUTIVE LIMOUSINE L.L.C,,2015,9,September,52,0,5
B01146,CHURCH AVE C/S INC,,2016,12,December,"15,733",0,50
B02677,"A.T.B. CAR AND LIMOUSINE SERVICE, INC.",,2018,4,April,"21,303",0,120
B03048,ATLANTIS TRANSPORTATION SERVICES INC,,2018,12,December,"1,618",0,10
B02547,NICK CAR & LIMO SERVICE INC.,,2017,11,November,76,0,8
B00900,BIG Q CAR SVC. INC.,,2016,4,April,"59,484",0,212
B02833,ADVANCED LUXURY LIMO SVC. INC.,,2016,7,July,556,0,9
B00492,BLU-WHITE ASSOCIATED TRANSPORTATION SERVICE INC,,2017,10,October,"3,661",0,21
B01417,NESHER EXPRESS CAR SERVICE 2 INC.,,2017,5,May,"1,817",0,12
B01635,HAR-SINAY CAR & LIMO SVC INC,,2018,4,April,108,0,2
B01606,LA MEXICANA EXPRESS INC.,,2018,11,November,"9,681",0,108
B02670,"STRIDE LIMO WORLDWIDE, LLC",,2017,4,April,906,0,41
B02552,INTERSTATE LUXURY LIMOUSINES INC.,,2017,12,December,"2,331",0,11
B01970,GRAFE STREET SERVICE CORP.,,2018,2,February,393,0,6
B02110,"OPTIMUM CAR & LIMO, INC.",,2017,11,November,"1,005",0,6
B02886,PRINCE LUXURY CORP.,,2015,12,December,116,0,4
B02661,MIC-LOU CAR SERVICES_LLC,LULU CAR SERVICES,2018,2,February,"2,878",0,9
B02437,"EXCELLENT CAR & LIMO SERVICE, INC.",,2016,7,July,"47,534",0,196
B03078,EQUALTRANS LLC,,2018,10,October,74,0,6
B00387,FORTUNE LIMOUSINES INC,,2018,9,September,247,0,8
B01392,NEW AMERICAN CLASS L/C SERVICE CORP.,,2015,11,November,"1,378",0,11
B01711,FLUSHING LIMO TRANSP CORP,,2018,6,June,"2,342",0,13
B01285,UNION RADIO DISPATCH INC,,2017,8,August,"21,957",0,124
B02852,OP CAR SERVICE INC.,,2016,10,October,516,0,8
B01644,MUSIC EXPRESS/N.Y. INC,,2015,9,September,"3,498",0,74
B00183,KEW GARDEN OPERATING CORP,,2016,9,September,503,0,20
B00727,RECHEV OF BROOKLYN INC,,2017,9,September,"1,556",0,6
B01964,"GOLDEN TOUCH TRANSPORTATION OF NY, INC.",ECAR NEW YORK,2018,7,July,"1,285",0,33
B02726,COMPADRE CAR SERVICE INC.,,2015,5,May,"2,427",0,12
B01300,KENNEDY RAD DISP INC,,2015,10,October,"23,138",0,163
B02729,LOW TOUCH LUXURY INC.,,2016,7,July,331,0,3
B01231,GO CAR CORP.,,2015,4,April,"5,266",0,45
B00475,RIDGE TRANSPORTATION CORP.,,2016,5,May,"3,681",0,9
B01958,ST.ALBANS-HOLLIS CAR SERVICE INC.,,2015,12,December,"1,366",0,13
B01958,ST.ALBANS-HOLLIS CAR SERVICE INC.,,2015,11,November,"1,263",0,15
B01215,ECUADOOR CORP,,2017,11,November,"12,119",0,56
B02917,C & A BLACK CAR CORP.,,2018,1,January,185,0,28
B02016,PLANET LIMOUSINE LLC,,2018,9,September,"1,571",0,34
B01353,DYKER CARS INC.,,2016,6,June,"3,747",0,9
B02826,NEW BELL LUXURY CORP,,2017,6,June,"2,580",0,33
B01056,UNITY CAR & LIMO INC.,,2017,7,July,763,0,10
B00492,BLU-WHITE ASSOCIATED TRANSPORTATION SERVICE INC,,2015,4,April,"5,094",0,26
B02898,SANO CAR LLC,,2017,10,October,"2,098",0,34
B01029,ZION CAR SERVICE INC.,,2017,9,September,30,0,4
B01056,UNITY CAR & LIMO INC.,,2017,4,April,"6,768",0,24
B02674,ELAL CAR LIMO SERVICE LLC,FIFTH AVENUE CAR LIMO SERVICE,2018,12,December,"3,365",0,13
B03020,5J TRANSPORTATION INC.,,2017,12,December,"1,559",0,17
B00608,SUMMIT CORPORATE CAR INC.,,2017,2,February,"1,740",0,42
B02228,SPECIAL RADIO DISP.CORP.,,2017,5,May,"2,033",0,16
B00325,CONTINENTAL RADIO DISPATCH CORP.,,2016,9,September,"1,657",0,21
B03016,BEST DEAL BLACK INC.,,2019,1,January,"7,116",219,38
B02279,MATAMOROS CAR SERVICE INC.,,2018,6,June,"8,756",0,23
B02901,GALLANT LUXURY SERVICE CORP.,,2018,11,November,"4,765",0,81
B00412,NYC 2 WAY INTERNATIONAL LTD,NYC TWO WAY INC.,2016,12,December,"10,429",0,116
B01727,"CHAUFFEUR SERVICES, INC.",NICE GUYS LIMO,2016,1,January,82,0,6
B02966,ELEGANT LUXURY LIMO LLC,,2017,3,March,2,0,1
B02155,ABA LUXURY CAR INC.,,2015,4,April,480,0,25
B02664,CORPORATE CAR LTD.,,2018,2,February,165,0,41
B02825,GUADALUPANA II CAR & LIMO INC,,2017,9,September,"3,323",0,17
B01985,"LUXURY WORLDWIDE TRANSPORTATION, LLC",,2015,12,December,"2,876",0,83
B02554,IMMEDIATE LUXURY CAR & LIMO SERVICE INC.,,2018,4,April,12,0,6
B00727,RECHEV OF BROOKLYN INC,,2018,5,May,"1,390",0,5
B02826,NEW BELL LUXURY CORP,,2018,4,April,"4,966",0,34
B02711,TRANS CITY TRANSPORTATION INC,DIAL 7 ON DEMAND,2015,11,November,261,0,3
B02330,"OCHO LUXURY CAR, INC.",ACAPOLCO EXPRESS,2018,12,December,"2,038",0,8
B01236,BLS LIMO SVC OF NY INC,,2015,6,June,"3,563",0,65
B02138,"GUADALUPANA CAR LIMO, INC",,2015,7,July,"6,515",0,26
B00756,T & S HILLSIDE INC.,RED CAP CAR SERVICE,2015,6,June,"8,280",0,27
B02279,MATAMOROS CAR SERVICE INC.,,2016,3,March,"9,190",0,30
B02461,NEW HEAVEN RADIO DISPATCH CORP,,2017,1,January,"6,437",0,67
